sector_name,priority_score,growth,growth_norm,productivity,productivity_norm,spillover,spillover_norm,export,export_norm,labor,labor_norm,ai_readiness,ai_readiness_norm,automation_risk,automation_risk_norm,rank
Thông tin-Truyền thông-CNTT,0.7099717836944183,7.85,0.8131176999101527,6.209677419354839,0.5155739221612287,0.92,1.0,178.0,0.6118941216913029,0.62,0.0248062015503876,88,1.0,28,0.7297297297297297,1
Công nghiệp chế biến chế tạo,0.6674030529912531,9.64,0.9739442946990118,2.095652173913044,0.11621274228307236,0.78,0.7741935483870968,290.9,1.0,11.5,0.8682170542635659,55,0.547945205479452,42,0.3513513513513513,2
Tài chính-Ngân hàng-Bảo hiểm,0.5465582341972981,7.36,0.7690925426774484,9.309090909090909,0.8164435946462715,0.85,0.8870967741935483,1.2,0.004125128910278446,0.55,0.019379844961240317,72,0.7808219178082192,52,0.08108108108108103,3
Logistics-Vận tải-Kho bãi,0.44535595755871876,9.93,1.0,2.794871794871795,0.1840881577607567,0.72,0.6774193548387095,3.1,0.010656583018219321,1.95,0.12790697674418605,42,0.3698630136986301,35,0.5405405405405406,4
Y tế-Chăm sóc sức khỏe,0.4219152816361387,6.85,0.7232704402515723,3.8000000000000003,0.281659067509928,0.6,0.4838709677419354,0.0,0.0,0.75,0.034883720930232565,45,0.410958904109589,18,1.0,5
Bán buôn-bán lẻ,0.3834678913538203,7.1,0.7457322551662174,1.2628205128205128,0.035367192007874464,0.55,0.40322580645161293,5.5,0.018906840838776213,7.8,0.5813953488372093,48,0.4520547945205479,38,0.45945945945945943,6
Giáo dục-Đào tạo,0.38135589359231614,6.42,0.6846361185983828,1.7906976744186047,0.08660986396768336,0.65,0.564516129032258,0.0,0.0,2.15,0.1434108527131783,38,0.3150684931506849,22,0.8918918918918919,7
Xây dựng,0.3078116211240952,7.45,0.7771787960467207,1.4666666666666668,0.055155169877923245,0.42,0.19354838709677416,2.5,0.008594018563080097,4.8,0.34883720930232565,20,0.0684931506849315,25,0.8108108108108107,8
Nông-Lâm-Thủy sản,0.30468556502881106,3.27,0.40161725067385445,0.8984848484848484,0.0,0.35,0.08064516129032255,40.5,0.13922310072189756,13.2,1.0,15,0.0,18,1.0,9
Khai khoáng,0.19682308565293352,-1.2,0.0,11.2,1.0,0.3,0.0,8.2,0.028188380886902717,0.3,0.0,30,0.2054794520547945,55,0.0,10
