solution_id,method,total_budget,gdp_gain,inequality,emission,net_cyber_risk,NMM_I,NMM_D,NMM_AI,NMM_H,RRD_I,RRD_D,RRD_AI,RRD_H,NCC_I,NCC_D,NCC_AI,NCC_H,CH_I,CH_D,CH_AI,CH_H,SE_I,SE_D,SE_AI,SE_H,MD_I,MD_D,MD_AI,MD_H
random_4511,random,49891.30558285018,50398.02668461262,2445.213457464198,6836.746874012435,-258.33373170159257,1.8291308207788666,8999.590000000004,1.0908244268264364,75.1760578591606,75.74267926876793,0.0,9618.931263975232,1509.1542953139187,146.5925289519174,499.59000000000486,10.67015211490423,6135.323013024343,0.029749932843907367,11999.590000000004,0.016122309426367762,0.1430399107245419,712.4847213708206,0.0,484.24948166477446,3889.4757413077214,11.828550925558323,3999.5900000000047,20.837763628477557,1699.3704660439737
random_1791,random,49997.77680379439,50182.487827216144,2212.503302603083,7119.2188217893045,-434.0243468661632,473.4488077671133,8999.590000000004,401.5174276912622,1428.9938935294347,352.4233710276319,0.0,1440.5672020252055,6379.333663676372,301.69588147422746,499.59000000000486,820.8656647140925,3745.5963911381687,0.017137302821704028,11999.590000000004,0.05289744494395052,0.22534533845764926,228.98955118308666,0.0,6406.760363301549,971.6768977215826,616.6367142073453,3999.5900000000047,476.8740687271013,453.7415255239714
random_2888,random,49827.25120108948,49833.25926951681,1996.8193646070965,6205.53656573081,-996.2141570551771,155.3325881475506,8999.590000000004,186.1130273257541,181.689298018799,120.69361128435533,0.0,6694.246980523347,2566.608677660652,7.51102537759509,499.59000000000486,1.3719089551760417,4869.7099951881155,0.02316403139424141,11999.590000000004,0.06715469260936152,0.12919268156124167,1027.2558511582115,0.0,1657.0080335530447,3769.9382392681746,48.00349917694837,3999.5900000000047,196.92315594550936,2846.2657981006664
random_2113,random,49855.54829084664,49768.73363556638,2150.3899926312783,5084.897461779261,-2224.7828727468236,210.65924072795164,8999.590000000004,323.0736265864167,1377.5470633950238,511.14027182860116,0.0,1005.6506113686273,3939.665030148153,52.186390188785886,499.59000000000486,44.694307320137916,6799.72219834778,0.004923012762839422,11999.590000000004,0.005964277227560958,0.027876681532312,779.1437745250598,0.0,4286.38336773787,558.4282160644622,556.3428238414837,3999.5900000000047,524.0948059097664,3388.417798884976
random_3277,random,49875.41143260127,49749.54050125484,1960.0922191180844,6339.987812597396,-1235.959869904595,207.37316756532752,8999.590000000004,304.96373727938663,983.3070665372222,505.65359300588887,0.0,65.99081604136259,4911.03683866574,1262.2456258635539,499.59000000000486,1379.3127673118174,5181.91771103385,0.009140162263476257,11999.590000000004,0.008228211245870478,0.07492969021306327,487.0520949507705,0.0,6020.506406460895,861.8925580151578,11.732517141005337,3999.5900000000047,54.02251427406577,2139.951720391491
random_1914,random,49239.07652727387,49418.47390130984,2108.012818804954,5588.923087546507,-1232.0096346716236,10.190154942433724,8999.590000000004,37.802227998004795,48.40271703334049,215.4524129260392,0.0,2543.2958089020394,7088.98973509375,222.00106148964522,499.59000000000486,675.0048319873334,4149.732558985148,0.0017012784906872335,11999.590000000004,0.07754832412788304,0.18441355356504086,87.5865431583215,0.0,5335.723005951706,1711.5975787882871,17.777083530078983,3999.5900000000047,108.50765012389166,1488.3894932076537
random_2723,random,49873.09296958795,49403.53924685007,1881.5515331172965,6535.250271540779,-1493.793407897378,540.0870903442279,8999.590000000004,14.12220327062117,715.2737828652971,1246.259764328765,0.0,4261.472594462323,2088.385621993526,119.58808581468254,499.59000000000486,287.39692764666916,6433.368586459832,0.013766843670005413,11999.590000000004,0.0277584433532295,0.31432078069812397,291.20456635506673,0.0,2355.4715084672753,3829.026725884853,1125.2350040590961,3999.5900000000047,174.152417959557,893.3322436084259
random_4905,random,49402.727251847195,49265.91231296683,2029.2732923562553,6029.691260391277,-1417.9642392936353,21.499102645028767,8999.590000000004,6.550019935514737,10.701388362316761,745.454858036905,0.0,3313.3809674259082,5139.230352703373,43.000967654230735,499.59000000000486,354.6913829238007,7889.583204056108,0.007298489473528672,11999.590000000004,0.005698904738709636,0.09613716281715415,660.1404407191169,0.0,3722.4755153621836,635.7271499673262,930.2523775683325,3999.5900000000047,42.11832165829618,389.452068271705
random_366,random,48610.07743500141,49155.1018785097,2715.4599133132956,4646.695507474411,-1789.611039647315,4.458981899080499,8999.590000000004,4.404649368394455,370.77677792114116,13.813407775878455,0.0,94.59042118217165,5428.120133367505,14.330345935623237,499.59000000000486,39.50111066448435,5016.105380482818,0.07003106733844193,11999.590000000004,0.027739830984836764,0.03672307569963783,74.33246031584255,0.0,7581.196812143984,3416.934281818116,24.619063479404804,3999.5900000000047,112.83049250969923,915.5686221632247
random_230,random,49611.887964457426,49021.72118757151,2125.8513443907673,6008.606638019897,-1485.8210805456356,0.18788603480643987,8999.590000000004,2.8197163429495316,16.448755052614217,1329.554350373536,0.0,1949.482281329582,1725.9526375244839,220.95441962686283,499.59000000000486,951.8996908394986,3606.485544393479,0.0014894608754966142,11999.590000000004,0.03340357023974002,0.029512851013757932,595.0958526127724,0.0,4334.00563495968,5235.695764516057,185.213114485753,3999.5900000000047,267.63199719790737,3692.035913285298
